X,Y,OBJECTID,ROWID_,DAY_OF_WEEK,HOLIDAY,WEEK_OF_YEAR,MONTH_OF_YEAR,ISSUE_TIME,VIOLATION_CODE,VIOLATION_DESCRIPTION,LOCATION,RP_PLATE_STATE,BODY_STYLE,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKET_ISSUE_DATE
-77.032219158100006,38.915711187900001,1839865,,,,,,,P055,NO PARKING ANYTIME,1900 14TH ST NW,MD,,279446,9137,397206,138649,2017-09-16T21:01:00.000Z
-77.031958788599994,38.900775419299997,1839866,,,,,,,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,0900 14TH ST NW,DC,,810420,8931,397228,136991,2017-09-18T09:05:00.000Z
-77.031958788599994,38.900775419299997,1839867,,,,,,,P170,FAILURE TO DISPLAY CURRENT TAGS,0900 14TH ST NW,DC,,810420,8931,397228,136991,2017-09-18T09:05:00.000Z
-77.031959846099994,38.9031356088,1839868,,,,,,,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,1000 14TH ST NW,MD,,804807,4141,397228,137253,2017-09-21T08:30:00.000Z
-77.031959846099994,38.9031356088,1839869,,,,,,,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,1000 14TH ST NW,DC,,804807,4141,397228,137253,2017-09-21T09:02:00.000Z
-77.032404439900006,38.917449745,1839870,,,,,,,P007,PARK IN A BUS ZONE,2000 14TH ST NW,DC,,239976,3449,397190,138842,2017-09-02T12:19:00.000Z
-77.021918477100002,38.903561317,1839871,,,,,,,P007,PARK IN A BUS ZONE,1100 7TH ST NW,VA,,805422,4653,398099,137300,2017-09-02T12:44:00.000Z
-77.021918477100002,38.903561317,1839872,,,,,,,P007,PARK IN A BUS ZONE,1100 7TH ST NW,MD,,805422,4653,398099,137300,2017-09-02T12:45:00.000Z
-76.930129654200002,38.900236413599998,1839896,,,,,,,P045,PARK IN RESERVED EMBASSY SPACE,5002 HAYES ST NE,MD,,294606,804,406061,136933,2017-09-11T17:30:00.000Z
-76.948917380099999,38.872644452899998,1839897,,,,,,,P050,PARKED WITHIN 25 FEET OF A STOP SIGN,3821 MASSACHUSETTS AV SE,DC,,30093,12169,404433,133869,2017-09-16T17:40:00.000Z
-77.005490168099996,38.906022524599997,1840049,,,,,,,P055,NO PARKING ANYTIME,1201 1ST ST NE,DC,,303728,9728,399524,137573,2017-09-09T14:01:00.000Z
-77.017566678899996,38.975042868099997,1840051,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-12T09:38:00.000Z
-77.017566678899996,38.975042868099997,1840052,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-12T09:43:00.000Z
-77.017566678899996,38.975042868099997,1840053,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-12T09:46:00.000Z
-77.017566678899996,38.975042868099997,1840054,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-12T09:48:00.000Z
-77.007181956400004,38.876240747,1840055,,,,,,,P055,NO PARKING ANYTIME,1200 HALF ST SE,MD,,316357,2530,399377,134267,2017-09-10T15:50:00.000Z
